глагол,частота
biti,396208
moći,34801
hteti,32770
imati,23894
trebati,8962
raditi,8211
koristiti,7974
nalaziti,7235
morati,6898
postojati,6129
reći,5855
želeti,5814
predstavljati,5450
dobiti,4954
doći,4699
kazati,4219
nemati,4052
postati,3788
činiti,3713
učestvovati,3429
znati,3336
govoriti,3296
istaći,3140
pružati,3127
videti,3053
voditi,2984
dati,2931
baviti,2814
početi,2650
smatrati,2624
nuditi,2602
organizovati,2591
omogućavati,2551
pomoći,2517
nastaviti,2468
živeti,2411
pokazati,2262
tražiti,2228
očekivati,2165
odnositi,2164
značiti,2164
pronaći,2158
dolaziti,2121
obezbediti,2118
omogućiti,2110
pogledati,2044
pratiti,2031
podneti,2019
sadržati,1914
otvoriti,1900
predstaviti,1869
misliti,1860
dodati,1795
održati,1793
navoditi,1792
učiniti,1791
prisustvovati,1790
napraviti,1788
pomagati,1732
naći,1698
doneti,1680
upoznati,1679
uticati,1674
ostati,1659
pružiti,1633
razgovarati,1594
navesti,1550
vršiti,1523
sprovoditi,1523
završiti,1521
naglasiti,1514
odaberiti,1513
davati,1511
odlučiti,1485
trajati,1462
doprineti,1454
ostvariti,1413
pokazivati,1406
uraditi,1402
dobijati,1380
zahtevati,1376
vratiti,1362
izjaviti,1356
posedovati,1350
iznositi,1346
objaviti,1317
verovati,1317
održavati,1312
donositi,1280
dovesti,1277
postaviti,1276
podržavati,1274
igrati,1263
prihvatiti,1263
posetiti,1242
uspeti,1238
prijaviti,1233
ići,1222
uključivati,1215
obuhvatati,1214
razvijati,1198
sastojati,1197
nastati,1195
uživati,1187
nositi,1172
saznati,1171
podržati,1159
podrazumevati,1159
obavljati,1150
ući,1146
realizovati,1143
ukazati,1136
pokrenuti,1118
pozivati,1110
dodirniti,1106
usvojiti,1099
povećati,1092
uputiti,1087
izraziti,1083
obratiti,1076
iskoristiti,1076
uključiti,1069
stvarati,1066
preuzeti,1062
odgovarati,1056
obezbeđivati,1056
video,1045
otkriti,1032
doprinositi,1025
promeniti,1020
ticati,1017
voleti,1006
stvoriti,999
pisati,994
čuti,991
izvršiti,981
postajati,976
ostajati,975
služiti,972
počinjati,964
primenjivati,960
menjati,956
smanjiti,951
osećati,943
prikazivati,931
razmotriti,930
ukazivati,926
isticati,924
započeti,905
proći,893
stići,884
ponuditi,883
utvrditi,876
stajati,872
računati,870
klikniti,860
primiti,854
naučiti,854
razumeti,852
potpisati,848
zavisiti,842
postići,841
gledati,833
osvojiti,825
nadati,818
planirati,816
ostaviti,812
steći,810
unaprediti,809
zaključiti,806
obaviti,803
prepoznati,792
delovati,786
kupiti,783
koštati,780
razviti,777
upravljati,776
kreirati,776
čuvati,775
tvrditi,769
izgubiti,769
pripadati,764
sarađivati,764
proizvoditi,763
dešavati,760
sprovesti,756
smeti,753
postavljati,752
pričati,750
poslati,749
oceniti,749
pojaviti,744
dostaviti,742
kretati,741
suočavati,736
razmatrati,731
pripremiti,729
izaći,724
desiti,722
potvrditi,720
odgovoriti,719
boriti,719
graditi,718
otići,714
boraviti,712
zatražiti,704
krenuti,703
ispuniti,702
shvatiti,701
finansirati,697
nastavljati,696
pokušati,695
preporučivati,679
čekati,679
pokušavati,678
spavati,677
saopštiti,676
bistiti,675
staviti,671
smanjivati,668
predložiti,667
definisati,662
promovisati,654
podsetiti,652
izgledati,647
poboljšati,640
odvijati,629
držati,624
poštovati,623
funkcionisati,622
otvarati,622
pozvati,617
preneti,614
osigurati,613
povećavati,612
izgraditi,611
prenositi,606
sastati,605
izabrati,601
dovoditi,601
zahvaliti,600
ostvarivati,595
poručiti,595
objasniti,588
pridružiti,586
omogućivati,584
najaviti,582
prikazati,581
okupiti,580
pristupiti,575
odabrati,569
birati,569
pitati,565
dogoditi,565
kontaktirati,563
razlikovati,563
rešiti,560
izazvati,559
ispunjavati,559
provesti,555
uvesti,554
pročitati,553
garantovati,551
podići,548
prolaziti,544
objavljivati,544
viditi,541
izvoditi,541
uspostaviti,538
odrediti,538
deliti,533
predsedavati,530
prilagoditi,530
sprečiti,529
platiti,528
praviti,527
analizirati,525
ulaziti,515
razmišljati,507
dozvoliti,496
preći,494
vraćati,494
poslovati,489
važiti,488
predviđati,487
napisati,486
preduzeti,484
podsećati,483
prodavati,482
potvrđivati,479
obrađivati,478
napustiti,472
nazivati,472
podeliti,466
formirati,466
štititi,464
zadržati,463
izraditi,461
proširiti,459
priznati,459
zvati,454
reagovati,453
zaboraviti,452
osnovati,452
putovati,451
objašnjavati,449
uzeti,448
vidjeti,447
spadati,446
povezivati,446
truditi,445
zasnivati,444
osetiti,441
prestati,440
prikupljati,440
slediti,437
nastajati,434
obavestiti,432
dodavati,427
izdvajati,426
izdati,426
učiti,425
pojavljivati,425
javljati,422
poticati,422
ulagati,421
isključiti,421
rasti,420
uložiti,419
ogledati,419
podsticati,417
primati,417
postizati,416
završavati,416
sačuvati,415
olakšavati,411
nastojati,410
posmatrati,408
određivati,406
obići,406
raspolagati,403
diplomirati,400
slušati,400
zanimati,396
obaveštavati,396
okupljati,396
uzimati,395
uređati,394
plaćati,392
težiti,391
izneti,388
stavljati,388
ukloniti,387
pokrivati,386
instalirati,385
doživeti,383
odrasti,382
izdvojiti,381
obeležiti,380
izlaziti,379
odlučivati,378
pokretati,377
proveriti,374
prijavati,374
kontrolisati,373
kolačiti,370
fokusirati,366
rešavati,362
provoditi,360
zaustaviti,354
prihvatati,353
stizati,353
istražiti,351
regulisati,347
brinuti,347
svedočiti,347
identifikovati,347
odlaziti,346
zauzimati,345
stati,344
javiti,343
izaberiti,343
naglašavati,343
podstaći,342
odigrati,341
uslediti,341
podnositi,341
odbiti,339
odlikovati,339
sticati,339
uređivati,338
provjeriti,337
konstatovati,337
pohađati,335
promijeniti,334
nastupati,334
obeležavati,333
upisati,331
olakšati,330
sprečavati,328
predati,327
pozdraviti,327
upotrebljavati,327
predlagati,326
podesiti,325
ostavljati,325
rezultirati,325
primeniti,323
odobriti,323
ležati,320
obuhvatiti,320
nedostajati,318
stupiti,317
izvesti,316
ponoviti,316
potražiti,314
obrazložiti,312
pripremati,310
izazivati,309
napomenuti,308
napredovati,308
kupovati,308
zadovoljiti,306
upućivati,306
privući,306
čitati,306
zaštititi,305
zamisliti,305
preuzimati,303
dokazati,303
predvoditi,302
prelaziti,302
otkrivati,302
donirati,301
pobediti,301
prodati,301
složiti,300
izrađivati,300
zalagati,298
unesiti,297
unapređivati,297
zadržavati,296
zatvoriti,296
dostići,295
zameniti,294
povesti,293
posvetiti,293
preživeti,292
informisati,291
gubiti,290
ojačati,289
buditi,289
pretvoriti,288
uvoditi,285
označiti,284
opisati,283
poslužiti,282
postignuti,281
širiti,278
primetiti,277
povući,275
umreti,275
pritisniti,273
registrovati,272
oslanjati,272
plaći,272
poznavati,272
povezati,272
negovati,270
izdavati,268
dodeljivati,268
urediti,268
opisivati,267
utvrđivati,266
karakterisati,266
beležiti,266
porasti,264
poboljšavati,263
sustavati,262
prikupiti,262
privlačiti,261
voziti,259
vjerovati,259
proceniti,259
trošiti,258
dozvoljavati,258
hvati,257
insistirati,255
ažurirati,254
označavati,253
savladati,252
pristup,252
proizvesti,251
priprema,250
suočiti,250
dominirati,247
nabaviti,247
susretati,246
meriti,246
propustiti,245
aktivirati,245
glasati,243
proglasiti,242
uzrokovati,242
doživljavati,242
zadovoljavati,241
položiti,240
pregledati,240
pominjati,239
pomenuti,238
slaviti,237
snimati,237
izbeći,237
padati,237
ubrzati,236
sazvati,236
procenjivati,236
snimiti,235
tretirati,235
nastupiti,235
ponašati,235
emitovati,235
osiguravati,234
investirati,233
sagledati,233
implementirati,231
studirati,229
zabeležiti,228
predavati,227
poželeti,226
dodeliti,226
komunicirati,226
slagati,225
uručiti,224
osloboditi,224
pustiti,223
izražavati,223
prevazići,223
istraživati,223
dostavljati,223
dogovoriti,222
priključiti,221
pasti,220
probati,220
shvatati,219
zastupati,218
približiti,217
uspevati,217
odražavati,217
zasluživati,216
izbegavati,216
oblikovati,215
osmisliti,215
prepoznavati,214
ubiti,214
unositi,213
popuniti,212
upozoravati,211
zauzeti,211
podizati,211
savetovati,211
dodavtiti,210
nameravati,209
diskutovati,209
braniti,209
slati,209
spajati,209
proteći,208
kombinovati,208
prezentovati,208
poseta,206
povuciti,204
nazvati,204
čestitati,203
posjetiti,203
plasirati,203
odbijati,202
zahvaljivati,202
pohvaliti,201
umeti,201
diti,200
kriti,199
saati,199
obavezovati,198
spremiti,197
posećivati,196
upozoriti,196
uveriti,195
izboriti,195
započinjati,195
pretvarati,194
ugostiti,194
proizvod,193
popraviti,193
raspisati,193
radovati,193
izlagati,193
integrisati,193
pogoditi,193
spremati,191
držiti,191
ugrožavati,191
ocenjivati,191
izveštavati,191
odustati,190
prekinuti,190
ispitati,190
odati,189
obuhvaćati,189
preduzimati,188
sećati,188
preporučiti,187
propisivati,187
naići,186
slijediti,186
angaživati,186
stradati,186
isporučivati,185
ustanoviti,185
upotrijebiti,184
uneti,183
iskazati,183
događati,182
saglasiti,181
nemottiti,181
isporučiti,180
pomisliti,180
ispričati,179
pokriti,179
izmeniti,178
pozoviti,178
oglasiti,178
snositi,178
voliti,176
osjećati,176
dokazivati,175
naplaćivati,175
pridržavati,175
okrenuti,175
odbraniti,174
skrenuti,173
očuvati,173
testirati,173
posvećivati,173
obećati,173
vladati,173
nametati,172
odvesti,172
nestati,172
prilagođavati,171
odgovor,171
motivisati,171
odbaciti,171
pamtiti,170
vezovati,169
glasiti,169
trpeti,169
izvršavati,169
zaključivati,168
pristupati,168
kolačići,166
imenovati,166
hoći,166
prostiriti,166
ograničiti,166
pravi,166
razmisliti,166
poneti,166
svirati,164
uskladiti,164
susreti,162
osnažiti,162
postupati,162
obnoviti,161
prebaciti,161
otkloniti,161
iditi,160
bazirati,160
produžiti,160
osvrnuti,159
uzmiti,159
pretiti,158
upasti,158
kršiti,157
pronalaziti,157
proslaviti,156
inicirati,156
tumačiti,156
zapošljavati,155
jačati,155
usmeriti,154
uhvatiti,154
pretpostavljati,153
otpočeti,153
okrugati,153
blokirati,153
raspravljati,153
preminuti,152
uporediti,152
razvivati,152
prepustiti,151
rukovoditi,151
nanositi,150
plašiti,150
spojiti,150
roditi,150
odvojiti,149
družiti,149
dostignuti,149
obraćati,148
pojačati,148
dobrobiti,147
sugerisati,147
brojati,147
obavezati,147
kiša,147
isplatiti,146
navestiti,146
sretati,146
zaposliti,145
pretrpeti,145
pošlajiti,145
ugroziti,145
inspirisati,145
zahtijevati,144
takmičiti,144
usavršavati,144
obavesti,143
najavljivati,143
potrošiti,142
pokloniti,142
uklapati,142
uklanjati,142
uspostavljati,142
isprobati,141
iskusiti,141
kritikovati,141
ukinuti,141
štediti,140
jesti,139
svoditi,139
prevazilaziti,137
prodaja,137
napominjati,137
ograničavati,137
priznavati,137
teći,137
parkirati,136
ispostaviti,135
plažiti,135
napuštati,135
interesovati,135
upotrebiti,134
usvajati,134
istražovati,134
reproducirati,133
proveravati,133
zamoliti,133
potruditi,133
stupati,132
uništiti,132
počiniti,132
želiti,132
polagati,132
protiviti,132
razmenjivati,132
napuniti,132
god,132
izložiti,132
dizajnirati,131
podijeliti,131
stimulisati,131
počivati,130
angažovati,130
iznajmiti,130
bivati,130
naznačiti,129
osuđivati,129
povlačiti,128
dostizati,128
izbrisati,128
usmeravati,128
ispraviti,127
varirati,127
započniti,127
nadgledati,126
zahvatiti,126
napasti,125
pošlajeti,125
probuditi,125
izabereti,124
povratiti,124
opustiti,124
prouzrokovati,124
pohvati,123
piti,123
primećivati,123
nailaziti,123
prirediti,123
iznajmljivati,123
ponavljati,122
brisati,122
dočekati,122
prestajati,122
ohrabriti,121
žaliti,121
djelovati,121
dopustiti,121
predvideti,121
okretati,121
očistiti,120
vrediti,120
proširivati,120
poći,120
okrugiti,119
sumnjati,119
generisati,119
projektovati,119
uočiti,119
setiti,118
osuditi,118
prerasti,118
zaraditi,118
isključivati,117
ploviti,117
nestajati,117
sastaviti,117
zaštita,116
preseliti,116
eliminisati,116
distribuirati,116
odobravati,116
okončati,115
prevesti,115
prethoditi,115
preuzmiti,114
opstati,114
pomerati,114
navići,114
proizilaziti,113
onemogućavati,113
izbegnuti,113
obrazovati,113
zeleniti,113
zatvarati,112
aplicirati,112
svesti,112
potpisivati,112
obećavati,111
naterati,111
približavati,111
pristati,111
poginuti,110
smestiti,110
poručivati,110
transformisati,110
lečiti,110
ušteti,109
osnivati,109
ličiti,109
elektromaterajati,109
opredeliti,109
upisivati,108
posjedovati,108
zadržiti,108
onemogućiti,108
uplatiti,108
pozabaviti,107
odvajati,107
pripasti,107
ubaciti,107
organizirati,107
magistrirati,106
korist,106
naručiti,106
protezati,106
prekršiti,106
pozdravljati,106
obraditi,106
umanjiti,106
poništiti,106
precizirati,105
bojati,105
razmeniti,105
snabdevati,105
datirati,105
priložiti,105
pati,105
ispratiti,105
trenirati,104
